sae_variant,subfolder,contrastive_score,independent_score,sparsity,ground_truth
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,54.29049607849120,58.21123826599120,695.598876953125,0.861383199691773
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,72.5784506362915,168.31554765319800,41.9134941101074,0.886458396911621
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,69.98655387001040,162.99456435089100,84.3312759399414,0.877960860729218
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,72.24552862167360,116.54479298553500,339.397766113281,0.871781647205353
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,77.60038666229250,171.3731073776250,21.1056747436523,0.882068455219269
batch_top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,67.3760560333252,121.42476856079100,168.649215698242,0.875696659088135
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,80.46917346572880,185.4288784942630,53.8439521789551,0.861115217208862
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,75.10109224090580,115.34235023345900,662.269592285156,0.823025524616242
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,72.28716210174560,115.1797734375,408.724731445313,0.826219499111176
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,76.3661585647583,197.8998152923580,88.2284240722656,0.847730934619904
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,56.64496796035770,65.98059127426150,1149.88732910156,0.822735190391541
gated_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,78.0363502067566,175.54369406585700,175.180648803711,0.833236515522003
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,94.16670080566410,157.24896428375200,48.8130111694336,0.848735272884369
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,67.48833787155150,158.80247279663100,497.192413330078,0.825714290142059
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,73.74767488784790,173.0883335296630,302.896636962891,0.82792854309082
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,85.70748151474,164.38481193237300,73.8572845458984,0.856423556804657
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,58.29328134918210,78.34880865173340,1064.43383789063,0.786714315414429
p_anneal_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,81.59080234451290,137.19826438293500,120.957412719727,0.847112774848938
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,76.18275670852660,84.45147923355100,63.4984970092773,0.864958703517914
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,69.71201768798830,89.20380344085690,835.053894042969,0.807509660720825
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,72.63182615089420,91.44049304885860,468.850250244141,0.830914080142975
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,70.83348515319820,81.72423900756840,125.305938720703,0.847575902938843
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,66.0553431552887,83.34234056243900,1262.171875,0.791934728622437
standard_new_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,69.10994647598270,82.33806915283200,212.356292724609,0.84753292798996
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,62.41675496444700,59.68964703292850,655.734008789063,0.875737965106964
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,89.70048526077270,172.10583387298600,43.7203063964844,0.876923024654388
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,81.05735991439820,134.20323977966300,87.7362823486328,0.879598140716553
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,79.65658886413570,96.13379660491940,334.382995605469,0.861909627914429
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,95.13846944351200,188.9872468322750,21.694372177124,0.869948267936707
top_k_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,74.92206223297120,125.09595816192600,173.359985351563,0.872011661529541
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,59.928900844574000,155.79156931762700,605.199096679688,0.841472327709198
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,53.53617579612730,147.11403446044900,42.3991317749023,0.872667670249939
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,56.980521240234400,134.36331649017300,85.7831039428711,0.865456879138947
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,64.51618724479680,147.47334296569800,305.344421386719,0.856851518154144
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,49.892588166427600,188.68544205932600,21.735143661499,0.889503121376038
jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,59.66609345359800,116.26357414550800,162.453506469727,0.859603404998779
